"cnpj","nome_coop","auditorIndependente"
5790149,"CENTRAL COOPERATIVA DE CRÉDITO NO ESTADO DO ESPÍRITO SANTO - CECOOP","MOORE PRISMA AUDITORES INDEPENDENTES"
5790149,"CENTRAL COOPERATIVA DE CRÉDITO NO ESTADO DO ESPÍRITO SANTO - CECOOP","MOORE PRISMA AUDITORES INDEPENDENTES"
309024,"CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE","AUDSERVICE-AUDITORES ASSOCIADOS S/C"
1634601,"CENTRAL DE COOPERATIVAS DE ECONOMIA E CRÉDITO MÚTUO DO ESTADO DO RIO GRANDE DO SUL LTDA - UNICRED CENTRAL RS","ERNST & YOUNG AUDITORES INDEPENDENTES S/S"
10398952,"CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS DE CRÉDITO E ECONOMIA FAMILIAR E SOLIDÁRIA - CRESOL CONFEDERAÇÃO","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES"
315557,"CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS UNICRED LTDA. - UNICRED DO BRASIL.","ERNST & YOUNG AUDITORES INDEPENDENTES S/S"
44469161,"COOPECREDI GUARIBA - COOPERATIVA DE CREDITO","MOORE PRISMA AUDITORES INDEPENDENTES"
88325113,"COOPERATIVA    DE    ECONOMIA    E    CRÉDITO   MÚTUO  MINUANO","LINEAR AUDITORES INDEPENDENTES SOCIEDADE SIMPLES"
21198087,"COOPERATIVA CENTRAL DE CREDITO RURAL COM INTERAÇÃO SOLIDÁRIA   CENTRAL CRESOL SICOPER","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES"
5463212,"COOPERATIVA CENTRAL DE CRÉDITO - AILOS","ERNST & YOUNG AUDITORES INDEPENDENTES S/S"
