"cnpj","nome_coop","naturezaJuridica","situacao","regimeEspecial","logradouro","complemento","bairro","municipio","uf","cep","endereco_eletronico","email","telefone_ddd","telefone_numero","segmento_prudencial","ato_presi","nome_Liquidante","filiacao","filiacao_central"
5790149,"CENTRAL COOPERATIVA DE CRÉDITO NO ESTADO DO ESPÍRITO SANTO - CECOOP","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"AVENIDA NOSSA SENHORA DOS NAVEGANTES, 955","ED. GLOBAL TOWER, LOJA 21","ENSEADA DO SUÁ","VITORIA","ES","29050335","www.cecoop.com.br","cecoopes@cecoopes.com.br","27","31324340","S4",NA,NA,NA,NA
5036532,"CENTRAL DAS COOPERATIVAS DE CREDITO UNICOOB - SICOOB CENTRAL UNICOOB","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"AV  DUQUE DE CAXIAS  N  882  SOBRELOJA 2","EDIFICIO NEW TOWER PLAZA","NOVO CENTRO","MARINGA","PR","87020025","www.sicoobunicoob.com.br","diretoria@sicoobpr.com.br","44","30327777","S4",NA,NA,NA,NA
62931522,"CENTRAL DAS COOPERATIVAS DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB CENTRAL CECRESP","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"PRACA ALFREDO ISSA, 48","18 ANDAR - CJS. 181/182","SANTA EFIGENIA","SAO PAULO","SP","01033040","www.sicoobcentralcecresp.coop.br","administracao@cecresp.org.br","11","33271900","S4",NA,NA,NA,NA
70116611,"CENTRAL DAS COOPERATIVAS DE CRÉDITO DO NORDESTE - SICOOB CENTRAL NE","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"RUA EMPRESÁRIO CLÓVIS ROLIM, N 2051","ED. DCT - DUO CORPORATE TOWERS, 16º ANDAR, TORRE B","DOS IPÊS","JOAO PESSOA","PB","58028873","www.sicoobne.com.br","central@sicoobne.com.br","83","30152400","S4",NA,NA,NA,NA
106180,"CENTRAL DAS COOPERATIVAS DE CRÉDITO DOS ESTADOS DE MATO GROSSO, MATO GROSSO DO SUL E DO MUNICÍPIO DE CACOAL/RO - SICOOB CENTRAL RONDON","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"RUA I  185","PARQUE ELDORADO","JARDIM ALVORADA","CUIABA","MT","78048487","","central@sicoobmtms.coop.br","65","33141100","S4",NA,NA,NA,NA
309024,"CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"AV  DO CONTORNO  N 4924   3   5  E 6  ANDARES","","FUNCIONARIOS","BELO HORIZONTE","MG","30110032","www.cecremge.org.br","cecremge@cecremge.org.br","31","21048700","S4",NA,NA,NA,NA
692214,"CENTRAL DAS COOPERATIVAS DE ECONOMIA E CRÉDITO DO PLANALTO CENTRAL LTDA - SICOOB PLANALTO CENTRAL","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"SIG-SETOR DE INDÚSTRIAS GRÁFICAS, QUADRA 06","NÚMERO 2080- SALA 203- 2º ANDAR","SIG","BRASILIA","DF","70610460","www.sicoobplanaltocentral.coop.br","sicoobdf@sicoobdf.coop.br","61","32045000","S4",NA,NA,NA,NA
1634601,"CENTRAL DE COOPERATIVAS DE ECONOMIA E CRÉDITO MÚTUO DO ESTADO DO RIO GRANDE DO SUL LTDA - UNICRED CENTRAL RS","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"AVENIDA PRAIA DE BELAS  1212","TORRE NORTE  8  ANDAR","PRAIA DE BELAS","PORTO ALEGRE","RS","90110000","www.unicred-rs.com.br","angela@unicred-rs.com.br","51","33238800","S4",NA,NA,NA,NA
4243780,"CENTRAL SICOOB UNI DE COOPERATIVAS DE CRÉDITO","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"AVENIDA REPUBLICA DO LIBANO","N  936   1  ANDAR","SETOR AEROPORTO","GOIANIA","GO","74070040","www.unisicoob.com.br","unicredbc@unicredsys.com.br","62","40133700","S4",NA,NA,NA,NA
3795072,"CONFEDERACAO DAS COOPERATIVAS DO SICREDI - CONFEDERACAO SICREDI","Sociedade Cooperativa","",FALSE,"AV. ASSIS BRASIL, 3940","6. ANDAR","JARDIM LINDOIA","PORTO ALEGRE","RS","91010003","www.sicredi.com.br","confederacao_unicad@sicredi.com.br","51","33584700",NA,NA,NA,NA,NA
