SEGMENTO;"Cooperativa de Crédito";
NOME DA INSTITUICAO;-;
CNPJ;-;
PAIS;Todos;
UF;-;
MUNICIPIO;-;
;
CNPJ;NOME DA INSTITUICAO;ENDERECO;COMPLEMENTO;BAIRRO;CEP;MUNICIPIO;UF;PAIS;DDD;FONE;SITE NA WEB;
5790149;"CENTRAL COOPERATIVA DE CRÉDITO NO ESTADO DO ESPÍRITO SANTO - CECOOP";"AVENIDA NOSSA SENHORA DOS NAVEGANTES, 955";"ED. GLOBAL TOWER, LOJA 21";"ENSEADA DO SUÁ";"29050335";"VITORIA";"ES";"Brasil";"27";"31324340";"https://www.cecoop.com.br";
5036532;"CENTRAL DAS COOPERATIVAS DE CREDITO UNICOOB - SICOOB CENTRAL UNICOOB";"AV  DUQUE DE CAXIAS  N  882  SOBRELOJA 2";"EDIFICIO NEW TOWER PLAZA";"NOVO CENTRO";"87020025";"MARINGA";"PR";"Brasil";"44";"30327777";"https://www.sicoobunicoob.com.br";
62931522;"CENTRAL DAS COOPERATIVAS DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB CENTRAL CECRESP";"PRACA ALFREDO ISSA, 48";"18 ANDAR - CJS. 181/182";"SANTA EFIGENIA";"01033040";"SAO PAULO";"SP";"Brasil";"11";"33271900";"https://www.sicoobcentralcecresp.coop.br";
70116611;"CENTRAL DAS COOPERATIVAS DE CRÉDITO DO NORDESTE - SICOOB CENTRAL NE";"RUA EMPRESÁRIO CLÓVIS ROLIM, N 2051";"ED. DCT - DUO CORPORATE TOWERS, 16º ANDAR, TORRE B";"DOS IPÊS";"58028873";"JOAO PESSOA";"PB";"Brasil";"83";"30152400";"https://www.sicoobne.com.br";
106180;"CENTRAL DAS COOPERATIVAS DE CRÉDITO DOS ESTADOS DE MATO GROSSO, MATO GROSSO DO SUL E DO MUNICÍPIO DE CACOAL/RO - SICOOB CENTRAL RONDON";"RUA I  185";"PARQUE ELDORADO";"JARDIM ALVORADA";"78048487";"CUIABA";"MT";"Brasil";"65";"33141100";-;
309024;"CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE";"AV  DO CONTORNO  N 4924   3   5  E 6  ANDARES";-;"FUNCIONARIOS";"30110032";"BELO HORIZONTE";"MG";"Brasil";"31";"21048700";"https://www.cecremge.org.br";
692214;"CENTRAL DAS COOPERATIVAS DE ECONOMIA E CRÉDITO DO PLANALTO CENTRAL LTDA - SICOOB PLANALTO CENTRAL";"SIG-SETOR DE INDÚSTRIAS GRÁFICAS, QUADRA 06";"NÚMERO 2080- SALA 203- 2º ANDAR";"SIG";"70610460";"BRASILIA";"DF";"Brasil";"61";"32045000";"https://www.sicoobplanaltocentral.coop.br";
1634601;"CENTRAL DE COOPERATIVAS DE ECONOMIA E CRÉDITO MÚTUO DO ESTADO DO RIO GRANDE DO SUL LTDA - UNICRED CENTRAL RS";"AVENIDA PRAIA DE BELAS  1212";"TORRE NORTE  8  ANDAR";"PRAIA DE BELAS";"90110000";"PORTO ALEGRE";"RS";"Brasil";"51";"33238800";"https://www.unicred-rs.com.br";
4243780;"CENTRAL SICOOB UNI DE COOPERATIVAS DE CRÉDITO";"AVENIDA REPUBLICA DO LIBANO";"N  936   1  ANDAR";"SETOR AEROPORTO";"74070040";"GOIANIA";"GO";"Brasil";"62";"40133700";"https://www.unisicoob.com.br";
3795072;"CONFEDERACAO DAS COOPERATIVAS DO SICREDI - CONFEDERACAO SICREDI";"AV. ASSIS BRASIL, 3940";"6. ANDAR";"JARDIM LINDOIA";"91010003";"PORTO ALEGRE";"RS";"Brasil";"51";"33584700";"https://www.sicredi.com.br";
4891850;"CONFEDERACAO NACIONAL DAS COOPERATIVAS DO SICOOB LTDA";"SIG QUADRA 06 LOTE 2080 TORRE II";"CENTRO CORPORATIVO SICOOB";"SIG";"70610460";"BRASILIA";"DF";"Brasil";"61";"32175316";"https://www.sicoob.com.br";
10398952;"CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS DE CRÉDITO E ECONOMIA FAMILIAR E SOLIDÁRIA - CRESOL CONFEDERAÇÃO";"RODOVIA JOSE CARLOS DAUX  N  500";"2  ANDAR   CONDOMINIO TECHNO TOWERS  TORRE 1";"JOAO PAULO";"88030000";"FLORIANOPOLIS";"SC";"Brasil";"48";"32519400";"https://www.cresolconfederacao.com.br";
315557;"CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS UNICRED LTDA. - UNICRED DO BRASIL.";"RUA BELA CINTRA  967";"8  ANDAR   CJ  82";"CONSOLACAO";"01415907";"SAO PAULO";"SP";"Brasil";"11";"33553099";"https://www.unicred.com.br";
44469161;"COOPECREDI GUARIBA - COOPERATIVA DE CREDITO";"AV ANTONIO ALBINO 1671";-;"VILA GARAVELLO";"14840000";"GUARIBA";"SP";"Brasil";"16";"32519700";"https://www.coopecredi.com.br";
5296712;"COOPERASA - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONARIOS DAS EMPRESAS DA AGUIA PARTICIPAÇÕES";"AVENIDA SENADOR FLAVIO CARVALHO GUIMARAES  3505";"AGUIA SISTEMAS";"JARDIM ELDORADO";"84072190";"PONTA GROSSA";"PR";"Brasil";"42";"32202636";-;
88325113;"COOPERATIVA    DE    ECONOMIA    E    CRÉDITO   MÚTUO  MINUANO";"RUA GONCALVES DIAS  88";"SALA 1005";"CENTRO";"92010050";"CANOAS";"RS";"Brasil";"51";"30758752";"https://www.cooperativaminuano.com.br";
1664968;"COOPERATIVA  DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS UNIRONDÔNIA LTDA";"AVENIDA CALAMA 2468";-;"SÃO JOÃO BOSCO";"76803769";"PORTO VELHO";"RO";"Brasil";"69";"32238277";"https://www.unisicoob.com.br/unipvh/";
1864151;"COOPERATIVA  ECONOMIA CRÉDITO MÚTUO  SERVS E EMPREGADOS PÚBLICOS MUNIC DE BELO HORIZONTE BETIM BRUMADINHO CONTAGEM IBIRITÉ NOVA LIMA RIBEIRÃO DAS NEVES SABARÁ SANTA LUZIA E VESPASIANO SICOOB CREDISERV";"RUA DA BAHIA  905   11 ANDAR";-;"CENTRO";"30160011";"BELO HORIZONTE";"MG";"Brasil";"31";"32746959";-;
32428294;"COOPERATIVA CENTRAL DE CREDITO DO ESPIRITO SANTO - SICOOB CENTRAL ES";"RUA CONSTANTE SODRÉ, Nº 305";-;"SANTA LUCIA";"29056310";"VITORIA";"ES";"Brasil";"27";"30250100";"https://www.sicoobes.com.br";
21198087;"COOPERATIVA CENTRAL DE CREDITO RURAL COM INTERAÇÃO SOLIDÁRIA   CENTRAL CRESOL SICOPER";"RUA DOUTOR BOZANO";"272";"PETROPOLIS";"99051370";"PASSO FUNDO";"RS";"Brasil";"54";"32102300";"https://www.cresolsicoper.com.br";
5463212;"COOPERATIVA CENTRAL DE CRÉDITO - AILOS";"RUA GENERAL OSÓRIO, 1180";-;"VELHA";"89041002";"BLUMENAU";"SC";"Brasil";"47";"32314646";"https://www.ailos.coop.br/";
1401771;"COOPERATIVA CENTRAL DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL BASER";"RUA ERNESTO SANDERSON, Nº 101";-;"INDUSTRIAL";"85601657";"FRANCISCO BELTRAO";"PR";"Brasil";"46";"35201981";"https://www.cresol.com.br";
10013534;"COOPERATIVA CENTRAL DE CRÉDITO DA AGRICULTURA FAMILIAR E ECONOMIA SOLIDÁRIA - ASCOOB CENTRAL";"AVENIDA ANTONIO PINHEIRO DA MOTA  N  46";"EDF  EMPRESARIAL VIEIRA SOUTO  3  ANDAR";"CENTRO";"48700000";"SERRINHA";"BA";"Brasil";"75";"32613062";"https://www.sistemaascoob.com.br";
34148882;"COOPERATIVA CENTRAL DE CRÉDITO DA BAHIA LTDA – SICOOB CENTRAL BA";"RUA ALCEU AMOROSO LIMA  N  470";"ED  EMPRESARIAL NIEMEYER  10  ANDAR";"CAMINHO DAS ARVORES";"41820770";"SALVADOR";"BA";"Brasil";"71";"33407100";"https://www.sicoob-ba.com.br";
33416108;"COOPERATIVA CENTRAL DE CRÉDITO DE GOIÁS LTDA";"RUA 15 1250";-;"SETOR MARISTA";"74150020";"GOIANIA";"GO";"Brasil";"62";"35238100";"https://www.sicoobgoias.com.br";
25683434;"COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS";"AVENIDA DEL REY  111";"CONDOMINIO COMERCIAL CAICARA  TORRE B  7  ANDAR";"CAPARAO";"30775240";"BELO HORIZONTE";"MG";"Brasil";"31";"32707607";"https://www.sicoobcrediminas.com.br/";
80160260;"COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS";"RUA TENENTE SILVEIRA, 94";"ANDARES 2º, 3º, 4º, 5º, 6º, 7º E 8º";"CENTRO";"88010300";"FLORIANOPOLIS";"SC";"Brasil";"48";"32619000";"https://www.sicoobsc.com.br";
63917579;"COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO";"AVENIDA PROFESSOR JOAO FIUSA  2604";-;"JARDIM CANADA";"14024260";"RIBEIRAO PRETO";"SP";"Brasil";"16";"34567400";"https://www.sicoobsp.coop.br";
3502131;"COOPERATIVA CENTRAL DE CRÉDITO DO NORTE DO BRASIL - SICOOB NORTE";"AV NACOES UNIDAS 555";-;"N S  DAS GRACAS";"76804175";"PORTO VELHO";"RO";"Brasil";"69";"21811007";"https://www.sicoobnorte.com.br";
14568725;"COOPERATIVA CENTRAL DE CRÉDITO DO RIO DE JANEIRO LTDA.";"RUA RODRIGO SILVA  N  26";"6  ANDAR   SALA 601";"CENTRO";"20011040";"RIO DE JANEIRO";"RJ";"Brasil";"21";"25440761";"https://www.sicoobrio.com.br";
7202627;"COOPERATIVA CENTRAL DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA - CRESOL CENTRAL SC/RS";"RUA ACHILES TOMAZELLI, 1310E";"PRÉDIO";"SANTA MARIA";"89812143";"CHAPECO";"SC";"Brasil";"49";"33614800";"https://www.cresolcentral.com.br";
543968;"COOPERATIVA CENTRAL DE CRÉDITO UNICRED CONEXÃO LTDA - UNICRED CENTRAL CONEXÃO";"RUA CRISTOVAO NUNES PIRES 50 TORRE NORDEN";"LJ 05  SALAS 402 403 508 509 510 E 511";"CENTRO";"88010120";"FLORIANOPOLIS";"SC";"Brasil";"48";"32215600";"https://www.unicred.com.br/centralscpr/";
33737818;"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DE MATO GROSSO DO SUL, GOIÁS, DISTRITO FEDERAL E TOCANTINS – CENTRAL SICREDI BRASIL CENTRAL";"AV. T-12, S/N";"QD 123 LT 17/18 SALA 2801 ED CONNECT PARK BUSINESS";"BUENO";"74223080";"GOIANIA";"GO";"Brasil";"62";"35749750";-;
33667205;"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CENTRO NORTE DO BRASIL - CENTRAL SICREDI CENTRO NORTE";"AV. JOSÉ RODRIGUES DO PRADO, 19";"1º ANDAR";"SANTA ROSA";"78040000";"CUIABA";"MT";"Brasil";"65";"36485193";"https://www.sicredi.com.br";
70119680;"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO NORTE/NORDESTE - CENTRAL SICREDI NORTE/NORDESTE";"RUA DR. ANTÔNIO MOACIR DANTAS CAVALCANTI, 110";"PARQUE ESPERANÇA";"RENASCER";"58108546";"CABEDELO";"PB";"Brasil";"83";"30442500";"https://www.sicredinne.com.br";
87437687;"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE";"R. MANOELITO DE ORNELLAS, 55";"18º E 19º ANDAR";"PRAIA DE BELAS";"90110230";"PORTO ALEGRE";"RS";"Brasil";"51";"33585400";-;
80230774;"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ";"R ALCIDES MUNHOZ, 165";"1º ANDAR";"MERCÊS";"80810040";"CURITIBA";"PR";"Brasil";"41";"32815400";-;
73085573;"COOPERATIVA CENTRAL DE ECONOMIA E CRÉDITO MÚTUO  - SICOOB UNIMAIS";"RUA DO PARAISO  N  41";-;"PARAISO";"04103000";"SAO PAULO";"SP";"Brasil";"11";"32525210";"https://www.sicoobunimais.com.br/";
